"study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","delta_c13","depth_interval_notes"
"Krause_et_al_2025","PS","PS15","single set of methods",36.5,46.3,0.699,0.09734,0.03802,-27.735,"3cm stopper to sed surface"
"Krause_et_al_2025","PS","PS15","single set of methods",46.3,60.7,0.715111111111111,0.09546,0.03882,NA,"3cm stopper to sed surface"
"Krause_et_al_2025","PS","PS15","single set of methods",60.7,85,0.598571428571428,0.16186,0.06333,-28.08,"3cm stopper to sed surface"
"Krause_et_al_2025","PS","PS16","single set of methods",0,2.2,0.302833333333333,0.12753,0.04155,-21.78,"4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS16","single set of methods",2.2,4.9,0.435555555555555,0.12746,NA,NA,"4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS16","single set of methods",4.9,7.6,0.670200000000001,0.09857,0.03246,NA,"4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS16","single set of methods",7.6,10.3,0.687125,0.08707,0.0275,NA,"4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS16","single set of methods",10.3,14.3,0.756625,0.07752,NA,NA,"4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS16","single set of methods",14.3,19.8,0.8727,0.06354,0.01833,NA,"4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS16","single set of methods",19.8,28,0.98475,0.05638,NA,NA,"4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS16","single set of methods",28,38.8,1.1397,0.01357,0.00714,NA,"4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS16","single set of methods",38.8,55,1.06928571428571,0.03573,0.00979,-25.575,"4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS16","single set of methods",55,75.4,1.1232,0.0287,0.00796,NA,"4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS16","single set of methods",75.4,100,1.02455555555556,0.04254,0.01217,-25.94,"4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS17","single set of methods",0,3.4,0.509,0.10698,0.03582,-22.77,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS17","single set of methods",3.4,6.1,0.6433,0.09324,NA,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS17","single set of methods",6.1,9,0.752,0.0874,0.02582,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS17","single set of methods",9,13,0.764111111111111,0.08573,0.0227,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS17","single set of methods",13,18.2,0.881555555555555,0.07284,NA,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS17","single set of methods",18.2,26.4,0.771111111111111,0.02395,NA,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS17","single set of methods",26.4,37.4,0.984555555555556,0.05723,0.0172,-25.075,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS17","single set of methods",37.4,48.5,1.0442,0.04982,0.01634,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS17","single set of methods",48.5,65,1.27728571428571,0.02962,0.00918,-26.09,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS17","single set of methods",65,77.2,1.169125,0.03604,0.01034,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS17","single set of methods",77.2,100,1.17775,0.0316,0.00883,-26.3,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS18","single set of methods",0,3.3,0.2972,0.11729,0.03568,-23.855,"6cm stopper to sed surface"
"Krause_et_al_2025","PS","PS18","single set of methods",3.3,6,0.597375,0.07352,0.02269,NA,"6cm stopper to sed surface"
"Krause_et_al_2025","PS","PS18","single set of methods",6,8.7,0.711,0.07484,0.02393,NA,"6cm stopper to sed surface"
"Krause_et_al_2025","PS","PS18","single set of methods",8.7,12.8,0.694222222222222,0.07142,0.02148,NA,"6cm stopper to sed surface"
"Krause_et_al_2025","PS","PS18","single set of methods",12.8,18.4,0.982,0.04931,0.01463,-24.48,"6cm stopper to sed surface"
"Krause_et_al_2025","PS","PS18","single set of methods",18.4,26.6,1.17866666666667,0.03731,0.01066,NA,"6cm stopper to sed surface"
"Krause_et_al_2025","PS","PS18","single set of methods",26.6,37.4,1.0059,0.03805,0.01138,-24.9466666666667,"6cm stopper to sed surface"
"Krause_et_al_2025","PS","PS18","single set of methods",37.4,48.2,1.26642857142857,0.02667,NA,NA,"6cm stopper to sed surface"
"Krause_et_al_2025","PS","PS18","single set of methods",48.2,73,1.1756,0.02641,0.00904,-25.98,"6cm stopper to sed surface"
"Krause_et_al_2025","PS","PS2","single set of methods",0,3.6,0.5504,0.04421,0.01828,-24.78,"14cm stopper to sed surface"
"Krause_et_al_2025","PS","PS2","single set of methods",3.6,6.6,0.968285714285714,0.04168,NA,NA,"14cm stopper to sed surface"
"Krause_et_al_2025","PS","PS2","single set of methods",6.6,10.2,1.05111111111111,0.0323,0.00951,NA,"14cm stopper to sed surface"
