study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,percent_organic_carbon
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D0.5_1,single set of methods,5,10,MID_SM_T2_D0.5_5_10,0.5447499999999998,7.83
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D0.5_1,single set of methods,10,20,MID_SM_T2_D0.5_10_20,1.1289399999999998,1.92
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D0_1,single set of methods,0,5,MID_SM_T2_D0_0_5,0.5859393939393939,5.22
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D0_1,single set of methods,5,10,MID_SM_T2_D0_5_10,0.7658999999999999,4.99
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D0_1,single set of methods,10,20,MID_SM_T2_D0_10_20,1.1565400000000001,1.4
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D5_1,single set of methods,0,5,MID_SM_T3_D5_0_5,0.4347999999999999,5.84
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D5_1,single set of methods,5,10,MID_SM_T3_D5_5_10,0.6369,3.47
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D5_1,single set of methods,10,20,MID_SM_T3_D5_10_20,0.73594,2.75
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D3_1,single set of methods,0,5,MID_SM_T3_D3_0_5,0.44250000000000006,5.22
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D3_1,single set of methods,5,10,MID_SM_T3_D3_5_10,0.8347000000000001,3.42
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D3_1,single set of methods,10,20,MID_SM_T3_D3_10_20,0.8249200000000001,3.08
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D1_1,single set of methods,0,5,MID_SM_T3_D1_0_5,0.42399999999999993,12.88
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D1_1,single set of methods,5,10,MID_SM_T3_D1_5_10,0.5299499999999998,8.44
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D1_1,single set of methods,10,20,MID_SM_T3_D1_10_20,0.8500199999999998,3.03
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D0.5_1,single set of methods,0,5,MID_SM_T3_D0.5_0_5,0.5634999999999998,4.96
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D0.5_1,single set of methods,5,10,MID_SM_T3_D0.5_5_10,0.7039500000000001,4.3
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D0.5_1,single set of methods,10,20,MID_SM_T3_D0.5_10_20,0.8599999999999999,2.37
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D0_1,single set of methods,0,5,MID_SM_T3_D0_0_5,0.7279500000000002,3.1
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D0_1,single set of methods,5,10,MID_SM_T3_D0_0_5,0.9113500000000002,2.81
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T3_D0_1,single set of methods,10,20,MID_SM_T3_D0_10_20,0.9383199999999998,0.03
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D5_1,single set of methods,0,5,LWR_SM_T1_D5_0_5,0.6225999999999999,1.83
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D5_1,single set of methods,5,10,LWR_SM_T1_D5_5_10,0.9135500000000001,2.07
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D5_1,single set of methods,10,20,LWR_SM_T1_D5_10_20,1.18408,1.11
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D3_1,single set of methods,0,5,LWR_SM_T1_D3_0_5,0.6096499999999999,0.47
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D3_1,single set of methods,5,10,LWR_SM_T1_D3_5_10,1.0323499999999999,1.1
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D3_1,single set of methods,10,20,LWR_SM_T1_D3_10_20,1.24622,1.07
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D1_1,single set of methods,0,5,LWR_SM_T1_D1_0_5,0.7957000000000001,0.94
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D1_1,single set of methods,5,10,LWR_SM_T1_D1_5_10,1.0893000000000002,1.08
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D1_1,single set of methods,10,20,LWR_SM_T1_D1_10_20,1.1589200000000002,0.68
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D0.5_1,single set of methods,0,5,LWR_SM_T1_D0.5_0_5,1.1639,0.48
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D0.5_1,single set of methods,5,10,LWR_SM_T1_D0.5_5_10,1.1099,0.94
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D0.5_1,single set of methods,10,20,LWR_SM_T1_D0.5_10_20,1.26794,0.75
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D0_1,single set of methods,0,5,LWR_SM_T1_D0_0_5,1.0317000000000003,1.55
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D0_1,single set of methods,5,10,LWR_SM_T1_D0_5_10,1.2641499999999997,0.88
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T1_D0_1,single set of methods,10,20,LWR_SM_T1_D0_10_20,1.2512,0.57
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D5_1,single set of methods,0,5,LWR_SM_T2_D5_0_5,0.9054000000000002,0.73
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D5_1,single set of methods,5,10,LWR_SM_T2_D5_5_10,1.3072000000000004,0.5577000000000001
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D5_1,single set of methods,10,20,LWR_SM_T2_D5_10_20,1.52322,0.21970000000000003
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D3_1,single set of methods,0,5,LWR_SM_T2_D3_0_5,0.9888999999999996,1.18
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D3_1,single set of methods,5,10,LWR_SM_T2_D3_5_10,1.3519999999999999,0.5239
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D3_1,single set of methods,10,20,LWR_SM_T2_D3_10_20,1.28574,0.338
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D1_1,single set of methods,0,5,LWR_SM_T2_D1_0_5,1.2397499999999997,0.41
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D1_1,single set of methods,5,10,LWR_SM_T2_D1_5_10,1.4584000000000004,0.5408000000000001
