"study_id","site_id","plot_id","plant_id","year","month","day","species","plot_radius","alive_or_dead","decay_class","diameter","diameter_height","diameter_flag","basal_area","basal_density","total_height","canopy_height","height_method","canopy_quality","plant_AGB_kg_general","plant_AGC_kg_general","plant_AGB_kg_species","plant_AGC_kg_species","plant_BGB_kg","plant_BGC_kg","plant_notes"
"Romero_et_al_2025","R1","4","R1_4_1",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5","1.3","DBH","1.9624999999999998E-3","19.625","6","4","clinometer","medium","7.7980033075369901","3.82102162069312","5.6160984687705939","2.6395662803221791","6.2545244435129987","2.4392645329700695","hongos"
"Romero_et_al_2025","R1","4","R1_4_22",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5.1","1.3","DBH","2.041785E-3","20.417849999999998","5.5","3","clinometer","medium","8.1890672849745165","4.01264296963751","5.9058056378802171","2.7757286498037019","6.5356182293576799","2.548891109449495","hongos"
"Romero_et_al_2025","R1","4","R1_4_11",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5.3","1.3","DBH","2.205065E-3","22.050650000000001","5","3.5","clinometer","medium","9.0056322457627154","4.41275980042373","6.5119583110743058","3.0606204062049236","7.1182512823662849","2.7761180001228514","hongos"
"Romero_et_al_2025","R1","4","R1_4_10",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5.3","1.3","DBH","2.205065E-3","22.050650000000001","5.5","4","clinometer","medium","9.0056322457627154","4.41275980042373","6.5119583110743058","3.0606204062049236","7.1182512823662849","2.7761180001228514","plaga insectos"
"Romero_et_al_2025","R1","4","R1_4_3",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5.4","1.3","DBH","2.2890600000000003E-3","22.890600000000003","4","3","clinometer","medium","9.4313424627836984","4.62135780676401","6.8285902360294743","3.2094374109338526","7.419848388363592","2.8937408714618011","plaga insectos, hongos"
"Romero_et_al_2025","R1","4","R1_4_23",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5.5","1.3","DBH","2.374625E-3","23.74625","5","4","clinometer","high","9.8688089164845607","4.83571636907743","7.154382148620563","3.3625596098516644","7.7283370646007885","3.0140514551943078","hongos"
"Romero_et_al_2025","R1","4","R1_4_7",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5.6","1.3","DBH","2.4617599999999999E-3","24.617599999999999","3","1","clinometer","low","10.318133652843983","5.05588548989355","7.4894252644195101","3.5200298742771694","8.0437451884914726","3.1370606235116743","plaga insectos, hongos"
"Romero_et_al_2025","R1","4","R1_4_2",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5.8","1.3","DBH","2.6407400000000004E-3","26.407400000000003","5.5","4","clinometer","low","11.252761299300781","5.51385303665738","8.1876261885387311","3.8481843086132033","8.6954293381327776","3.3912174418717833","plaga insectos, hongos"
"Romero_et_al_2025","R1","4","R1_4_21",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"6","1.3","DBH","2.826E-3","28.259999999999998","5","3","clinometer","medium","12.236022701000543","5.99565112349027","8.9239078857797409","4.1942367063164783","9.3751162229642215","3.6562953269560463","plaga insectos, hongos"
"Romero_et_al_2025","R1","4","R1_4_19",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"7.5","1.3","DBH","4.4156250000000003E-3","44.15625","6","4","clinometer","medium","21.237574540559574","10.4064115248742","15.729195552307381","7.392721909584469","15.385686863877549","6.0004178769122438","plaga insectos"
"Romero_et_al_2025","R1","4","R1_4_13",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"8","1.3","DBH","5.0239999999999998E-3","50.239999999999995","5","4","clinometer","medium","24.909435877200384","12.2056235798282","18.531026185898327","8.7095823073722123","17.755816808155505","6.9247685551806466","plaga insectos"
"Romero_et_al_2025","R1","4","R1_4_6",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"8.5","1.3","DBH","5.6716250000000005E-3","56.716250000000002","6","5","clinometer","high","28.934947571595352","14.1781243100817","21.615982202751827","10.159511635293358","20.313787245562349","7.9223770257693165","sano"
"Romero_et_al_2025","R1","4","R1_4_18",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"10","1.3","DBH","7.8499999999999993E-3","78.5","4.5","2.5","clinometer","low","43.234310211117446","21.1848120034475","32.662611312628499","15.351427316935395","29.139418746990088","11.364373311326135","plaga insectos, hongos"
"Romero_et_al_2025","R1","4","R1_4_20",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"10.8","1.3","DBH","9.1562400000000013E-3","91.562400000000011","6","4","clinometer","low","52.289999075681983","25.6220995470842","39.714330140914647","18.665735166229883","34.568586497723665","13.48174873411223","plaga insectos, hongos"
"Romero_et_al_2025","R1","4","R1_4_17",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"10.8","1.3","DBH","9.1562400000000013E-3","91.562400000000011","12","10","clinometer","medium","52.289999075681983","25.6220995470842","39.714330140914647","18.665735166229883","34.568586497723665","13.48174873411223","sano"
"Romero_et_al_2025","R1","4","R1_4_4",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"11.6","1.3","DBH","1.0562960000000001E-2","105.62960000000001","10","5","clinometer","medium","62.388454269492961","30.5703425920515","47.618333840909443","22.380616905227438","40.511434395545699","15.799459414262824","plaga insectos, hongos"
"Romero_et_al_2025","R1","4","R1_4_5",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"14.7","1.3","DBH","1.6963064999999996E-2","169.63064999999995","15","6","clinometer","medium","112.01331971263021","54.8865266591888","86.903433012504621","40.844613515877171","68.537043725543811","26.729447052962087","hongos"
"Romero_et_al_2025","R2","1","R2_1_1",2016,8,17,"Rhizophora mangle",7,"alive",NA,"6","1.5","diameter above lowest prop root","0.002826","28.259999999999998","3.5",NA,"clinometer","low",NA,NA,NA,NA,NA,NA,"sano"
"Romero_et_al_2025","R2","2","R2_2_1",2016,8,17,"Rhizophora mangle",7,"alive",NA,"8","1.5","diameter above lowest prop root","0.005024","50.239999999999995","3.5",NA,"clinometer","low",NA,NA,NA,NA,NA,NA,"sano"
"Romero_et_al_2025","R2","3","R2_3_2",2016,8,17,"Rhizophora mangle",7,"alive",NA,"9","1.8","diameter above lowest prop root","0.0063585","63.585000000000001","3.5",NA,"clinometer","medium",NA,NA,NA,NA,NA,NA,"sano"
"Romero_et_al_2025","R2","3","R2_3_3",2016,8,17,"Rhizophora mangle",7,"alive",NA,"6","1.9","diameter above lowest prop root","0.002826","28.259999999999998","4",NA,"clinometer","low",NA,NA,NA,NA,NA,NA,"sano"
