"study_id","site_id","core_id","method_id","depth_min","depth_max","sample_id","dry_bulk_density","fraction_carbon"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D3_1","single set of methods",10,20,"LWR_SM_T1_D3_10_20",1.24622,0.010700000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D1_1","single set of methods",0,5,"LWR_SM_T1_D1_0_5",0.7957000000000001,0.009399999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D1_1","single set of methods",5,10,"LWR_SM_T1_D1_5_10",1.0893000000000002,0.0108
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D1_1","single set of methods",10,20,"LWR_SM_T1_D1_10_20",1.1589200000000002,0.0068000000000000005
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D0.5_1","single set of methods",0,5,"LWR_SM_T1_D0.5_0_5",1.1639,0.0048
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D0.5_1","single set of methods",5,10,"LWR_SM_T1_D0.5_5_10",1.1099,0.009399999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D0.5_1","single set of methods",10,20,"LWR_SM_T1_D0.5_10_20",1.26794,0.0075
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D0_1","single set of methods",0,5,"LWR_SM_T1_D0_0_5",1.0317000000000005,0.0155
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D0_1","single set of methods",5,10,"LWR_SM_T1_D0_5_10",1.2641499999999997,0.0088
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D0_1","single set of methods",10,20,"LWR_SM_T1_D0_10_20",1.2512,0.005699999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D5_1","single set of methods",0,5,"LWR_SM_T2_D5_0_5",0.9054000000000002,0.0073
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D5_1","single set of methods",5,10,"LWR_SM_T2_D5_5_10",1.3072000000000004,0.005577000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D5_1","single set of methods",10,20,"LWR_SM_T2_D5_10_20",1.52322,0.002197
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D3_1","single set of methods",0,5,"LWR_SM_T2_D3_0_5",0.9888999999999996,0.0118
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D3_1","single set of methods",5,10,"LWR_SM_T2_D3_5_10",1.352,0.005239000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D3_1","single set of methods",10,20,"LWR_SM_T2_D3_10_20",1.28574,0.00338
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D1_1","single set of methods",0,5,"LWR_SM_T2_D1_0_5",1.2397499999999997,0.0040999999999999995
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D1_1","single set of methods",5,10,"LWR_SM_T2_D1_5_10",1.4584000000000004,0.0054080000000000005
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D1_1","single set of methods",10,20,"LWR_SM_T2_D1_10_20",1.43572,0.004056000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D0.5_1","single set of methods",0,5,"LWR_SM_T2_D0.5_0_5",1.3335500000000002,0.0044
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D0.5_1","single set of methods",5,10,"LWR_SM_T2_D0.5_5_10",1.3413,0.00507
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D0.5_1","single set of methods",10,20,"LWR_SM_T2_D0.5_10_20",1.38048,0.004225
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D0_1","single set of methods",0,5,"LWR_SM_T2_D0_0_5",1.2691,0.005699999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D0_1","single set of methods",5,10,"LWR_SM_T2_D0_5_10",1.38215,0.00507
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T2_D0_1","single set of methods",10,20,"LWR_SM_T2_D0_10_20",1.5490199999999998,0.004732000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D5_1","single set of methods",0,5,"LWR_SM_T3_D5_0_5",1.3896499999999996,0.0092
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D5_1","single set of methods",5,10,"LWR_SM_T3_D5_5_10",1.1197000000000004,0.016562
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D5_1","single set of methods",10,20,"LWR_SM_T3_D5_10_20",1.23584,0.017914
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D3_1","single set of methods",0,5,"LWR_SM_T3_D3_0_5",1.0974000000000004,0.004699999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D3_1","single set of methods",5,10,"LWR_SM_T3_D3_5_10",1.4489999999999998,0.005746000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D3_1","single set of methods",10,20,"LWR_SM_T3_D3_10_20",1.57096,0.003718000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D1_1","single set of methods",0,5,"LWR_SM_T3_D1_0_5",1.2232500000000002,0.004699999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D1_1","single set of methods",5,10,"LWR_SM_T3_D1_5_10",1.3254,0.005746000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D1_1","single set of methods",10,20,"LWR_SM_T3_D1_10_20",1.3851999999999998,0.0076050000000000015
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D0.5_1","single set of methods",0,5,"LWR_SM_T3_D0.5_0_5",1.1500666666666666,0.0066
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D0.5_1","single set of methods",5,10,"LWR_SM_T3_D0.5_5_10",1.3249000000000002,0.013351000000000002
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D0.5_1","single set of methods",10,20,"LWR_SM_T3_D0.5_10_20",1.37502,0.005914999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D0_1","single set of methods",0,5,"LWR_SM_T3_D0_0_5",1.1921333333333333,0.0051
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D0_1","single set of methods",5,10,"LWR_SM_T3_D0_5_10",1.4963500000000003,0.005239000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T3_D0_1","single set of methods",10,20,"LWR_SM_T3_D0_10_20",1.33392,0.005914999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T1_D5_1","single set of methods",0,5,"UPR_INT_T1_D5_0_5",1.00125,0.0053
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T1_D5_1","single set of methods",5,10,"UPR_INT_T1_D5_5_10",1.0398999999999998,0.0052
