"study_id","site_id","core_id","year","month","day","latitude","longitude","position_method","position_notes","habitat","vegetation_class","vegetation_method","salinity_class","salinity_method"
"Romero_et_al_2025","SL6","SL6-5",2016,11,30,8.317983627319336,-82.18965148925781,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL6","SL6-6",2016,11,30,8.317983627319336,-82.18965148925781,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL7","SL7-1",2016,2,12,8.280200004577637,-82.22211456298828,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL7","SL7-2",2016,2,12,8.280200004577637,-82.22211456298828,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL7","SL7-3",2016,2,12,8.280200004577637,-82.22211456298828,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL7","SL7-4",2016,2,12,8.280200004577637,-82.22211456298828,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL7","SL7-5",2016,2,12,8.280200004577637,-82.22211456298828,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL7","SL7-6",2016,2,12,8.280200004577637,-82.22211456298828,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL8","SL8-1",2016,1,12,8.287166595458984,-82.21219635009766,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL8","SL8-2",2016,1,12,8.287166595458984,-82.21219635009766,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL8","SL8-3",2016,1,12,8.287166595458984,-82.21219635009766,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL8","SL8-4",2016,1,12,8.287166595458984,-82.21219635009766,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL8","SL8-5",2016,1,12,8.287166595458984,-82.21219635009766,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL9","SL9-1",2016,3,12,8.248133659362793,-82.2179183959961,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL9","SL9-2",2016,3,12,8.248133659362793,-82.2179183959961,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL9","SL9-3",2016,3,12,8.248133659362793,-82.2179183959961,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL9","SL9-4",2016,3,12,8.248133659362793,-82.2179183959961,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL9","SL9-5",2016,3,12,8.248133659362793,-82.2179183959961,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL9","SL9-6",2016,3,12,8.248133659362793,-82.2179183959961,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
