"study_id","site_id","core_id","method_id","representative_depth_min","representative_depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes"
"Romero_et_al_2025","SF3","SF3-6","single set of methods",0,15,0.211084793936523,0.1823,"Raíces"
"Romero_et_al_2025","SF3","SF3-6","single set of methods",15,30,0.151537136120432,0.2027,"Raíces y una raíz grande"
"Romero_et_al_2025","SF3","SF3-6","single set of methods",30,50,0.264907223923617,0.1424,"Raíces"
"Romero_et_al_2025","SF3","SF3-6","single set of methods",50,100,0.281053952321205,0.1421,"Raíces"
"Romero_et_al_2025","SL1","SL1-1","single set of methods",0,15,0.25068687825675,0.112,"Raíces"
"Romero_et_al_2025","SL1","SL1-1","single set of methods",15,30,0.37462591820078,0.08710000000000001,"Raíces"
"Romero_et_al_2025","SL1","SL1-1","single set of methods",30,50,0.383714646009728,0.0661,"20% raíz"
"Romero_et_al_2025","SL1","SL1-1","single set of methods",50,100,0.459849435382685,0.0492,"30% raíz"
"Romero_et_al_2025","SL1","SL1-2","single set of methods",0,15,0.31084793936523,0.0906,"Raíces"
"Romero_et_al_2025","SL1","SL1-2","single set of methods",15,30,0.255917293914936,0.0917,"Raíces"
"Romero_et_al_2025","SL1","SL1-2","single set of methods",30,50,0.471446586200685,0.1025,"Raíces"
"Romero_et_al_2025","SL1","SL1-2","single set of methods",50,100,0.414680050188206,0.0699,"Raíces"
"Romero_et_al_2025","SL1","SL1-3","single set of methods",0,15,0.428801515869256,0.1305,"Raíces"
"Romero_et_al_2025","SL1","SL1-3","single set of methods",15,30,0.464496236510384,0.1162,"Raíces"
"Romero_et_al_2025","SL1","SL1-3","single set of methods",30,50,0.458475950279229,0.0545,"Raíces"
"Romero_et_al_2025","SL1","SL1-3","single set of methods",50,100,0.50448108980104,0.033,"Poca raíz"
"Romero_et_al_2025","SL1","SL1-4","single set of methods",0,15,0.372998578872572,0.1084,"Raíces"
"Romero_et_al_2025","SL1","SL1-4","single set of methods",15,30,0.336084157069012,0.1319,"Raíces y una raíz grande"
"Romero_et_al_2025","SL1","SL1-4","single set of methods",30,50,0.421635741307872,0.1027,"Raíces"
"Romero_et_al_2025","SL1","SL1-4","single set of methods",50,100,0.490231224233734,0.06849999999999999,"Raíces"
"Romero_et_al_2025","SL1","SL1-5","single set of methods",0,15,0.593273330175272,0.07,"Raíces y una raíz grande"
"Romero_et_al_2025","SL1","SL1-5","single set of methods",15,30,0.326290015416704,0.1127,"Raíces"
"Romero_et_al_2025","SL1","SL1-5","single set of methods",30,50,0.324986488920915,0.1053,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL1","SL1-5","single set of methods",50,100,0.530202545259007,0.0598,"Raíces"
